N,h,MAE_a,MAE_b
50,0.125663706143592,0.454702230934307,0.0538449299449513
100,0.0628318530717959,0.229885602546448,0.0133212223137995
200,0.0314159265358979,0.115553534123843,0.00332176097087161
400,0.015707963267949,0.0579280794146238,0.000829909335497325
800,0.00785398163397448,0.0290017830104991,0.00020744420075498
1600,0.00392699081698724,0.0145103220458025,5.18589801263403e-05
3200,0.00196349540849362,0.00725751832792685,1.29646156642793e-05
6400,0.00098174770424681,0.00362934846959038,3.24114583057922e-06
